TaskName,Description,Subtask,Status,Priority,DueDate,ProjectName,ProjectDescription,Collaborator,CollaboratorCategory
Wash Car,clean dirty car,,OPEN,LOW,,,,,
meal prep,cook food for the week,,OPEN,HIGH,,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-03-15,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-03-22,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-03-29,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-04-05,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-04-12,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-04-19,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-04-26,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-05-03,,,,
meal prep,cook food for the week,,OPEN,HIGH,2026-05-10,,,,
